target,channel,page_to_pitch,angle,status
Personality Hacker,podcast/community,https://typejung.com/cognitive-function-test,"Function-first test for an audience that already understands type development",not contacted
Practical Typing,blog,https://typejung.com/jungian-cognitive-functions-test,"Full Ni Ne Si Se Ti Te Fi Fe page with a free assessment path",not contacted
Psychology Junkie,blog,https://typejung.com/mbti-alternative,"MBTI alternative resource for readers comparing personality tests",not contacted
Our Human Minds,blog,https://typejung.com/jungian-test,"Depth-oriented Jungian test with cautious non-clinical positioning",not contacted
Dear Kristin,YouTube/podcast,https://typejung.com/infj-vs-infp-test,"Creator-friendly INFJ vs INFP function comparison angle",not contacted
Michael Pierce,YouTube,https://typejung.com/jungian-typology,"Philosophical Jungian typology angle with assessment as supporting tool",not contacted
Geek Psychology,YouTube,https://typejung.com/inferior-function-test,"Growth and inferior-function development angle",not contacted
Ennpey,blog/YouTube,https://typejung.com/cognitive-function-test,"Cognitive-function education audience with a free test to review",not contacted
Shadow work newsletter,newsletter,https://typejung.com/shadow-work-test,"Inferior-function self-observation without clinical claims",not contacted
University psychology club,community,https://typejung.com/jungian-test,"Free student-friendly self-reflection tool for discussion",not contacted
